Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,Price
Holden,2013.0,Captiva,SUV,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,White / Grey,4 cyl,SUV, 4 Doors, 7 Seats,10999
Jeep,2012.0,Grand,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,White / -,6 cyl,SUV, 4 Doors, 5 Seats,15997
Renault,2018.0,Koleos,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,White / -,4 cyl,SUV, 4 Doors, 5 Seats,27950
Tesla,2021.0,Model,Sedan,USED,Automatic,0 L,AWD,Electric,White / -,0 L,Sedan, 5 Doors, 5 Seats,67800
Mitsubishi,2014.0,ASX,SUV,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,19990
Toyota,2005.0,Landcruiser,SUV,USED,Manual,"6 cyl, 4.2 L",4WD,Diesel,White / -,6 cyl,SUV, 4 Doors, 8 Seats,34999
Subaru,2014.0,Forester,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,Brown / Black,4 cyl,SUV, 4 Doors, 5 Seats,23990
MG,2023.0,ZST,Brighton MG,NEW,Automatic,"4 cyl, 1.5 L",Front,-,Orange / Black & Grey Tartan,4 cyl,SUV, 5 Doors, 5 Seats,27690
Toyota,2016.0,HiAce,Commercial,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,White / Grey,4 cyl,Commercial, 4 Doors, 2 Seats,27995
Mitsubishi,2020.0,Triton,Ute / Tray,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,White / Black Cloth,4 cyl,Ute / Tray, 4 Doors, 5 Seats,42998
Ford,2021.0,Puma,SUV,USED,Automatic,"3 cyl, 1 L",Front,Premium,Grey / Black,3 cyl,SUV, 5 Doors, 5 Seats,27990
Hyundai,2018.0,I30,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Grey / Black,4 cyl,Hatchback, 4 Doors, 5 Seats,22990
Nissan,2020.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,White / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,49990
Toyota,2008.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,- / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,24990
Mazda,2021.0,BT-50,Ute / Tray,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,Silver / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,54990
Toyota,2017.0,Hilux,Ute / Tray,USED,Manual,"4 cyl, 2.7 L",Rear,Unleaded,White / Grey,4 cyl,Ute / Tray, 2 Doors, 2 Seats,22880
MG,2021.0,MG3,Hatchback,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,Black / Black,4 cyl,Hatchback, 5 Doors, 5 Seats,19990
Hyundai,2016.0,Tucson,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,Black / 2016/09,4 cyl,SUV, 4 Doors, 5 Seats,28450
Mazda,2022.0,CX-9,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,Grey / -,4 cyl,SUV, 4 Doors, 7 Seats,57800
Suzuki,2019.0,Swift,Hatchback,USED,Automatic,"4 cyl, 1.2 L",Front,Unleaded,Silver / Grey,4 cyl,Hatchback, 5 Doors, 5 Seats,19990
Mitsubishi,2017.0,Eclipse,SUV,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,Grey / Black,4 cyl,SUV, 4 Doors, 5 Seats,18888
Holden,2016.0,Commodore,Sedan,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,White / Black,6 cyl,Sedan, 4 Doors, 5 Seats,21940
BMW,2002.0,M3,Coupe,USED,Manual,"6 cyl, 3.2 L",Rear,Premium,Grey / Grey,6 cyl,Coupe, 2 Doors, 5 Seats,43000
Skoda,2010.0,Octavia,Wagon,USED,Automatic,"4 cyl, 2 L",Front,Diesel,Grey / -,4 cyl,Wagon, 4 Doors, 5 Seats,11880
Mitsubishi,2017.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.4 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,24990
Isuzu,2021.0,MU-X,SUV,USED,Automatic,"4 cyl, 3 L",Front,Diesel,White / Black,4 cyl,SUV, 4 Doors, 7 Seats,44990
Ford,2018.0,Everest,SUV,USED,Automatic,"5 cyl, 3.2 L",Rear,Diesel,White / Grey,5 cyl,SUV, 4 Doors, 5 Seats,34990
Ford,2019.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,White / -,5 cyl,Ute / Tray, 4 Doors, 5 Seats,44990
Land,2015.0,Rover,SUV,USED,Automatic,"8 cyl, 5 L",AWD,Premium,Blue / -,8 cyl,SUV, 4 Doors, 5 Seats,96800
Holden,2015.0,Captiva,SUV,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,Silver / Black,4 cyl,SUV, 4 Doors, 7 Seats,13995
Hyundai,2010.0,I30,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Diesel,White / -,4 cyl,Hatchback, 5 Doors, 5 Seats,11990
Volkswagen,2007.0,Golf,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Premium,Silver / -,4 cyl,Hatchback, 5 Doors, 5 Seats,8999
HSV,2004.0,Clubsport,Sedan,USED,Automatic,"8 cyl, 5.7 L",Rear,Premium,- / -,8 cyl,Sedan, 4 Doors, 5 Seats,35990
HSV,2016.0,Clubsport,Sedan,USED,Automatic,"8 cyl, 6.2 L",Rear,Premium,White / -,8 cyl,Sedan, 4 Doors, 5 Seats,99990
Kia,2021.0,Picanto,Hatchback,USED,Automatic,"4 cyl, 1.2 L",Front,Unleaded,Yellow / -,4 cyl,Hatchback, 5 Doors, 5 Seats,19990
Land,2022.0,Rover,SUV,USED,Automatic,"8 cyl, 4.4 L",AWD,Premium,Grey / Black,8 cyl,SUV, 4 Doors, 5 Seats,314990
Volkswagen,2016.0,Caddy,Commercial,USED,Manual,"4 cyl, 1.2 L",Front,Premium,White / Black,4 cyl,Commercial, 3 Doors, 2 Seats,23350
Mercedes-Benz,2013.0,Vito,Commercial,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,White / Black,4 cyl,Commercial, 4 Doors, 2 Seats,31450
Volkswagen,2013.0,Amarok,Ute / Tray,USED,Manual,"4 cyl, 2 L",Rear,Premium,White / -,4 cyl,Ute / Tray, 2 Doors, 2 Seats,12444
Lexus,2018.0,NX300,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,47900
Subaru,2013.0,XV,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,16990
Suzuki,2017.0,Vitara,SUV,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,Grey / -,4 cyl,SUV, 4 Doors, 5 Seats,22990
Toyota,2012.0,Aurion,Sedan,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,Grey / Grey,6 cyl,Sedan, 4 Doors, 5 Seats,12990
Mercedes-Benz,2009.0,E500,Sedan,USED,Automatic,"8 cyl, 5.5 L",Rear,Premium,Black / Beige,8 cyl,Sedan, 4 Doors, 5 Seats,34990
Mitsubishi,2015.0,Lancer,Sedan,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,Red / Black,4 cyl,Sedan, 4 Doors, 5 Seats,17999
Hyundai,2022.0,I30,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Premium,White / 2022/05,4 cyl,Sedan, 4 Doors, 5 Seats,49950
Subaru,2013.0,Forester,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,Black / -,4 cyl,SUV, 4 Doors, 5 Seats,16950
Nissan,2021.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,42990
Skoda,2019.0,Rapid,Wagon,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,Red / -,4 cyl,Wagon, 4 Doors, 5 Seats,22990
Mazda,2018.0,BT-50,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,White / Cloth,5 cyl,Ute / Tray, 4 Doors, 5 Seats,44990
Ford,1990.0,Maverick,SUV,USED,Manual,"6 cyl, 4.2 L",4WD,Diesel,Silver / -,6 cyl,SUV, 4 Doors, 7 Seats,12900
Mazda,2015.0,BT-50,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",Rear,Diesel,White / Grey,5 cyl,Ute / Tray, 4 Doors, 4 Seats,14670
Toyota,2006.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,White / Dark Grey,4 cyl,SUV, 4 Doors, 5 Seats,14995
Volkswagen,2019.0,Golf,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Premium,Black / Cloth,4 cyl,Hatchback, 5 Doors, 5 Seats,39990
Mazda,2014.0,CX-5,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,13992
Nissan,2019.0,Qashqai,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Blue / Grey,4 cyl,SUV, 4 Doors, 5 Seats,23980
Renault,2023.0,Koleos,Peter Warren Renault,NEW,Automatic,"4 cyl, 2.5 L",Front,Unleaded,White / Grey,4 cyl,SUV, 4 Doors, 5 Seats,49290
Subaru,2021.0,Forester,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Hybrid,White / -,4 cyl,SUV, 4 Doors, 5 Seats,41990
Holden,2009.0,Commodore,Wagon,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,Silver / Black,6 cyl,Wagon, 4 Doors, 5 Seats,13990
Audi,2007.0,Q7,SUV,USED,Automatic,"8 cyl, 4.2 L",AWD,Premium,Grey / Black,8 cyl,SUV, 4 Doors, 5 Seats,14950
Audi,2022.0,A3,Audi Centre Gold Coast NEW Frizelle Sunshine Automotive,DEMO,Automatic,"4 cyl, 1.5 L",Front,Premium,Silver / Black,4 cyl,Sedan, 4 Doors, 5 Seats,50990
Nissan,2019.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,White / Cloth,4 cyl,SUV, 4 Doors, 7 Seats,27990
Kia,2006.0,K2700,Commercial,USED,Manual,"4 cyl, 2.7 L",Rear,Diesel,White / Grey  Cloth,4 cyl,Commercial, 2 Doors, 3 Seats,7999
Hyundai,2013.0,Elantra,Sedan,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,White / -,4 cyl,Sedan, 4 Doors, 5 Seats,10990
Audi,2019.0,RS5,Hatchback,USED,Automatic,"6 cyl, 2.9 L",AWD,Premium,Blue / -,6 cyl,Hatchback, 5 Doors, 4 Seats,121950
Mitsubishi,2021.0,Outlander,SUV,USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,Red / -,4 cyl,SUV, 4 Doors, 7 Seats,33888
Holden,2013.0,Captiva,SUV,USED,Manual,"4 cyl, 2.4 L",Front,Unleaded,Grey / -,4 cyl,SUV, 4 Doors, 5 Seats,12990
Mercedes-Benz,2015.0,C250,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Premium,Grey / Black,4 cyl,Sedan, 4 Doors, 5 Seats,37990
Ford,2018.0,Transit,Commercial,USED,Automatic,"4 cyl, 2 L",Front,Diesel,White / Grey,4 cyl,Commercial, 2 Doors, 3 Seats,42000
Holden,2014.0,Barina,Hatchback,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,White / Grey,4 cyl,Hatchback, 5 Doors, 5 Seats,8990
Mercedes-Benz,2006.0,Vito,Commercial,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,Black / Black,4 cyl,Commercial, 4 Doors, 5 Seats,16990
Mazda,2022.0,CX-8,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,Grey / Black,4 cyl,SUV, 4 Doors, 7 Seats,44870
Toyota,2017.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,White / Grey,4 cyl,Ute / Tray, 2 Doors, 2 Seats,49975
Isuzu,2016.0,D-MAX,Ute / Tray,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,White / Black,4 cyl,Ute / Tray, 2 Doors, 4 Seats,34950
MG,2023.0,ZST,Alto Blacktown MG,NEW,Automatic,"3 cyl, 1.3 L",Front,-,Blue / Black,3 cyl,SUV, 5 Doors, 5 Seats,35690
Mercedes-Benz,2015.0,CLA250,Sedan,USED,Automatic,"4 cyl, 2 L",AWD,Premium,Red / -,4 cyl,Sedan, 4 Doors, 5 Seats,34800
Ford,2012.0,Territory,SUV,USED,Automatic,"6 cyl, 2.7 L",AWD,Diesel,Black / -,6 cyl,SUV, 4 Doors, 7 Seats,16500
Ram,2020.0,1500,Ute / Tray,USED,Automatic,"8 cyl, 5.7 L",4WD,Unleaded,Grey / Leather,8 cyl,Ute / Tray, 4 Doors, 5 Seats,104990
Hyundai,2020.0,Santa,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,Silver / Grey,4 cyl,SUV, 4 Doors, 7 Seats,26980
Subaru,2007.0,Impreza,Hatchback,USED,Manual,"4 cyl, 2 L",AWD,Premium,Grey / -,4 cyl,Hatchback, 5 Doors, 5 Seats,8500
Toyota,2020.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,Blue / Black,4 cyl,SUV, 5 Doors, 5 Seats,48888
Mazda,2008.0,6,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Premium,White / -,4 cyl,Sedan, 4 Doors, 5 Seats,14799
Renault,2020.0,Koleos,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,White / -,4 cyl,SUV, 4 Doors, 5 Seats,29980
Mitsubishi,2015.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.4 L",4WD,Diesel,Silver / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,31990
Toyota,2014.0,RAV4,SUV,USED,Manual,"4 cyl, 2.2 L",AWD,Diesel,Blue / Black,4 cyl,SUV, 4 Doors, 5 Seats,19990
Honda,2015.0,Odyssey,Wagon,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,White / -,4 cyl,Wagon, 4 Doors, 7 Seats,30900
Toyota,2019.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,Blue / Cloth,4 cyl,Hatchback, 5 Doors, 5 Seats,33990
Nissan,2018.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,46990
Toyota,2016.0,Landcruiser,SUV,USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,Silver / -,8 cyl,SUV, 4 Doors, 7 Seats,84888
Hyundai,2013.0,I30,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,Black / -,4 cyl,Hatchback, 5 Doors, 5 Seats,15995
Toyota,2007.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,Red / Black,4 cyl,SUV, 4 Doors, 5 Seats,10999
Hyundai,2012.0,IX35,SUV,USED,Manual,"4 cyl, 2 L",Front,Unleaded,Silver / Grey,4 cyl,SUV, 4 Doors, 5 Seats,8990
Toyota,2017.0,C-HR,SUV,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,Grey / -,4 cyl,SUV, 4 Doors, 5 Seats,25990
Hyundai,2019.0,Tucson,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / -,4 cyl,SUV, 4 Doors, 5 Seats,30990
Hyundai,2017.0,Tucson,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,21980
Mitsubishi,2019.0,Eclipse,SUV,USED,Automatic,"4 cyl, 1.5 L",AWD,Unleaded,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,34990
BMW,2012.0,X6,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,White / Black,6 cyl,SUV, 4 Doors, 4 Seats,29980
Toyota,2015.0,HiAce,Commercial,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,White / -,4 cyl,Commercial, 4 Doors, 2 Seats,24800
Holden,2017.0,Astra,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,Grey / Black,4 cyl,Hatchback, 5 Doors, 5 Seats,18985
Volkswagen,2019.0,Tiguan,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,White / Grey,4 cyl,SUV, 4 Doors, 5 Seats,38599
Mitsubishi,2010.0,Challenger,SUV,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,Grey / -,4 cyl,SUV, 4 Doors, 5 Seats,11800
Kia,2018.0,Cerato,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Grey / Black,4 cyl,Sedan, 4 Doors, 5 Seats,26993
Holden,2016.0,Cruze,Sedan,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,White / -,4 cyl,Sedan, 4 Doors, 5 Seats,13999
Ford,2015.0,Territory,SUV,USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,Grey / Leather,6 cyl,SUV, 4 Doors, 7 Seats,26990
Toyota,2012.0,Kluger,SUV,USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,Silver / Black,6 cyl,SUV, 4 Doors, 7 Seats,24999
GWM,2023.0,Tank,Dominelli GWM,DEMO,Automatic,"4 cyl, 2 L",4WD,-,Orange / Black,4 cyl,SUV, 4 Doors, 5 Seats,51585
Honda,2008.0,Jazz,Hatchback,USED,Manual,"4 cyl, 1.5 L",Front,Unleaded,Blue / -,4 cyl,Hatchback, 5 Doors, 5 Seats,9499
Mazda,2004.0,6,Hatchback,USED,Automatic,"4 cyl, 2.3 L",Front,Premium,Blue / -,4 cyl,Hatchback, 5 Doors, 5 Seats,1200
Holden,2018.0,Commodore,Wagon,USED,Automatic,"4 cyl, 2 L",Front,Premium,White / Grey,4 cyl,Wagon, 4 Doors, 5 Seats,14990
Kia,2009.0,Grand,Wagon,USED,Automatic,"4 cyl, 2.9 L",Front,Diesel,Grey / -,4 cyl,Wagon, 4 Doors, 8 Seats,10999
Subaru,2018.0,Outback,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,White / Grey,4 cyl,SUV, 4 Doors, 5 Seats,36990
Toyota,2022.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Hybrid,Grey / 74La20,4 cyl,SUV, 5 Doors, 5 Seats,64490
Toyota,2010.0,Camry,Sedan,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,White / Grey,4 cyl,Sedan, 4 Doors, 5 Seats,10990
Honda,2022.0,CR-V,SUV,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,Grey / Cloth,4 cyl,SUV, 4 Doors, 5 Seats,40988
GWM,2023.0,Haval,Dominelli GWM,NEW,Automatic,"4 cyl, 1.5 L",Front,-,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,36288
Toyota,2018.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,White / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,25990
Land,2018.0,Rover,SUV,USED,Automatic,"8 cyl, 4.4 L",AWD,Diesel,Grey / Black,8 cyl,SUV, 4 Doors, 5 Seats,134888
Hyundai,2023.0,Santa,Gold Coast Hyundai NEW Frizelle Sunshine Automotive,DEMO,Automatic,"4 cyl, 1.6 L",AWD,Hybrid,Silver / Black Nappa,4 cyl,SUV, 4 Doors, 7 Seats,75893
Kia,2017.0,Cerato,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Red / Black,4 cyl,Sedan, 4 Doors, 5 Seats,22864
Mitsubishi,2014.0,Outlander,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / -,4 cyl,SUV, 4 Doors, 5 Seats,18990
Toyota,2013.0,Kluger,SUV,USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,Silver / Black,6 cyl,SUV, 4 Doors, 7 Seats,14985
Ford,2019.0,Everest,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,Silver / Black Leather,4 cyl,SUV, 4 Doors, 7 Seats,65498
Volvo,2020.0,XC40,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,Grey / Black,4 cyl,SUV, 4 Doors, 5 Seats,44997
Holden,2012.0,Commodore,Sedan,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,White / Grey,6 cyl,Sedan, 4 Doors, 5 Seats,9995
BMW,2012.0,X3,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,Silver / -,4 cyl,SUV, 4 Doors, 5 Seats,16999
Jeep,2015.0,Patriot,SUV,USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,Black / -,4 cyl,SUV, 4 Doors, 5 Seats,13990
HSV,2013.0,Clubsport,Wagon,USED,Automatic,"8 cyl, 6.2 L",Rear,Premium,Blue / Black,8 cyl,Wagon, 4 Doors, 5 Seats,65990
Mitsubishi,2011.0,ASX,SUV,USED,Manual,"4 cyl, 1.8 L",4WD,Diesel,Blue / -,4 cyl,SUV, 4 Doors, 5 Seats,11990
Toyota,2023.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,Red / Black,4 cyl,Hatchback, 5 Doors, 5 Seats,38888
Jeep,2017.0,Wrangler,SUV,USED,Automatic,"6 cyl, 3.6 L",4WD,Unleaded,White / Black,6 cyl,SUV, 4 Doors, 5 Seats,40990
Toyota,2013.0,Landcruiser,SUV,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,Blue / Black,4 cyl,SUV, 4 Doors, 7 Seats,29800
Toyota,2023.0,Kluger,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Hybrid,Blue / -,4 cyl,SUV, 5 Doors, 7 Seats,89970
Toyota,2006.0,Landcruiser,SUV,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,- / -,4 cyl,SUV, 4 Doors, 8 Seats,29990
Ford,2021.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,Black / Black,5 cyl,Ute / Tray, 4 Doors, 5 Seats,59990
Holden,2014.0,Cruze,Hatchback,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,Blue / Grey,4 cyl,Hatchback, 5 Doors, 5 Seats,10990
Renault,2016.0,Kangoo,Commercial,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,White / -,4 cyl,Commercial, 3 Doors, 2 Seats,19999
Mitsubishi,2015.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,White / Grey,4 cyl,Ute / Tray, 4 Doors, 5 Seats,23999
Kia,2011.0,Sorento,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,Grey / -,4 cyl,SUV, 4 Doors, 7 Seats,19990
Mitsubishi,2018.0,Pajero,SUV,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,- / -,4 cyl,SUV, 4 Doors, 7 Seats,41830
Toyota,2008.0,Landcruiser,SUV,USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,White / Black,8 cyl,SUV, 4 Doors, 8 Seats,52990
Ford,2012.0,Transit,Commercial,USED,Manual,"4 cyl, 2.4 L",Rear,Diesel,White / -,4 cyl,Commercial, 4 Doors, 6 Seats,19995
Nissan,2006.0,Navara,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,Black / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,26913
Volkswagen,2017.0,Caddy,Commercial,USED,Automatic,"4 cyl, 2 L",Front,Diesel,White / Grey,4 cyl,Commercial, 4 Doors, 2 Seats,27888
BMW,2015.0,M3,Sedan,USED,Automatic,"6 cyl, 3 L",Rear,Premium,Yellow / -,6 cyl,Sedan, 4 Doors, 5 Seats,82950
Mitsubishi,2021.0,Pajero,SUV,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,Grey / -,4 cyl,SUV, 4 Doors, 5 Seats,47990
Audi,2009.0,TT,Coupe,USED,Automatic,"4 cyl, 2 L",Front,Premium,White / -,4 cyl,Coupe, 2 Doors, 4 Seats,13999
Toyota,2004.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,White / Black,4 cyl,Hatchback, 5 Doors, 5 Seats,6499
Toyota,2015.0,Landcruiser,SUV,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,White / -,4 cyl,SUV, 4 Doors, 7 Seats,32990
Subaru,2019.0,XV,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,White / -,4 cyl,SUV, 4 Doors, 5 Seats,34980
GWM,2023.0,UTE,Dominelli GWM,NEW,Automatic,"4 cyl, 2 L",4WD,Diesel,Silver / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,39585
Volkswagen,2015.0,Caddy,Commercial,USED,Automatic,"4 cyl, 1.6 L",Front,Diesel,White / -,4 cyl,Commercial, 3 Doors, 2 Seats,29990
Ford,2019.0,Escape,SUV,USED,Automatic,"4 cyl, 1.5 L",AWD,Premium,White / -,4 cyl,SUV, 4 Doors, 5 Seats,18999
Mitsubishi,2020.0,Outlander,SUV,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,White / Black,4 cyl,SUV, 4 Doors, 7 Seats,26990
Hyundai,2022.0,I30,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Black Leather,4 cyl,Hatchback, 5 Doors, 5 Seats,28490
Mercedes-Benz,2020.0,A45,Hatchback,USED,Automatic,"4 cyl, 2 L",AWD,Premium,Black / -,4 cyl,Hatchback, 5 Doors, 5 Seats,88900
Hyundai,2005.0,Getz,Hatchback,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,White / -,4 cyl,Hatchback, 5 Doors, 5 Seats,9900
GWM,2022.0,Haval,Kedron Haval & Great Wall Online,NEW,Automatic,"4 cyl, 2 L",Front,Premium,White / Black Cloth,4 cyl,SUV, 4 Doors, 5 Seats,32990
Kia,2008.0,Carnival,Wagon,USED,Automatic,"6 cyl, 2.7 L",Front,Unleaded,Silver / -,6 cyl,Wagon, 4 Doors, 8 Seats,7995
Mazda,2023.0,3,Mount Gravatt Mazda New,NEW,Automatic,"4 cyl, 2 L",Front,Unleaded,Blue / -,4 cyl,Hatchback, 5 Doors, 5 Seats,40319
Kia,2021.0,Cerato,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Blue / -,4 cyl,Sedan, 4 Doors, 5 Seats,25925
Holden,2016.0,Commodore,Sedan,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,White / -,6 cyl,Sedan, 4 Doors, 5 Seats,24911
Nissan,2014.0,Qashqai,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,19990
GWM,2023.0,Haval,Pacific Great Wall Haval Caloundra New,NEW,Automatic,"4 cyl, 1.5 L",Front,Premium,Blue / Black,4 cyl,SUV, 4 Doors, 5 Seats,34485
Kia,2020.0,Sportage,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / -,4 cyl,SUV, 4 Doors, 5 Seats,31990
