Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,Engine,DriveType,FuelType,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,Price
Mazda,2015.0,CX-9,SUV,USED,Automatic,"6 cyl, 3.7 L",Front,Unleaded,Blue / -,6 cyl,SUV, 4 Doors, 7 Seats,16999
Mercedes-Benz,2014.0,GL63,SUV,USED,Automatic,"8 cyl, 5.5 L",AWD,Premium,Silver / -,8 cyl,SUV, 4 Doors, 7 Seats,62990
Mazda,2017.0,3,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / -,4 cyl,Hatchback, 5 Doors, 5 Seats,21999
Isuzu,2016.0,D-MAX,Ute / Tray,USED,Manual,"4 cyl, 3 L",Rear,Diesel,White / Grey,4 cyl,Ute / Tray, 2 Doors, 2 Seats,31888
Nissan,2009.0,Murano,SUV,USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,Brown / Black,6 cyl,SUV, 4 Doors, 5 Seats,9999
MG,2021.0,HS,SUV,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,Blue / -,4 cyl,SUV, 4 Doors, 5 Seats,28588
Chevrolet,2022.0,Silverado,Ute / Tray,USED,Automatic,"8 cyl, 6.2 L",4WD,Unleaded,Black / Black / Leather,8 cyl,Ute / Tray, 4 Doors, 5 Seats,149990
Subaru,2016.0,WRX,Sedan,USED,Manual,"4 cyl, 2 L",AWD,Premium,Grey / Black,4 cyl,Sedan, 4 Doors, 5 Seats,34768
Nissan,2012.0,Pathfinder,SUV,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,White / Black,4 cyl,SUV, 4 Doors, 7 Seats,18980
Mercedes-Benz,2018.0,Valente,Wagon,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,White / -,4 cyl,Wagon, 4 Doors, 8 Seats,47998
BMW,2009.0,320I,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Unleaded,Grey / -,4 cyl,Sedan, 4 Doors, 5 Seats,10990
Toyota,2005.0,Landcruiser,SUV,USED,Manual,"6 cyl, 4.2 L",4WD,Diesel,White / -,6 cyl,SUV, 4 Doors, 8 Seats,39970
Audi,2019.0,A3,Other,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,White / -,4 cyl,Other, 4 Doors, 5 Seats,31800
Holden,2014.0,UTE,Ute / Tray,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,White / Grey,6 cyl,Ute / Tray, 2 Doors, 2 Seats,19990
Kia,2020.0,RIO,Hatchback,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,Red / -,3 cyl,Hatchback, 5 Doors, 5 Seats,25990
Skoda,2022.0,Scala,Newcastle Skoda New,DEMO,Automatic,"3 cyl, 1 L",Front,Premium,Grey / -,3 cyl,Hatchback, 5 Doors, 5 Seats,32990
Mazda,2011.0,3,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Red / Black,4 cyl,Sedan, 4 Doors, 5 Seats,12990
Toyota,2011.0,FJ,SUV,USED,Automatic,"6 cyl, 4 L",4WD,Premium,Black / -,6 cyl,SUV, 4 Doors, 5 Seats,38995
Hyundai,2019.0,I30,Hatchback,USED,Manual,"4 cyl, 2 L",Front,Unleaded,Grey / Black Cloth,4 cyl,Hatchback, 4 Doors, 5 Seats,20990
Audi,2016.0,A3,Sedan,USED,Automatic,"4 cyl, 1.8 L",Front,Premium,Black / -,4 cyl,Sedan, 4 Doors, 5 Seats,27000
Mazda,2023.0,CX-3,Glendale Mazda New,NEW,Automatic,"4 cyl, 2 L",Front,Unleaded,White / -,4 cyl,SUV, 4 Doors, 5 Seats,36521
Audi,2010.0,A3,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Premium,Black / Black,4 cyl,Hatchback, 5 Doors, 5 Seats,14995
Subaru,2020.0,Forester,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,White / Standard Trim,4 cyl,SUV, 4 Doors, 5 Seats,35488
Holden,2014.0,Colorado,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,White / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,25990
BMW,2008.0,X5,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,Grey / -,6 cyl,SUV, 4 Doors, 5 Seats,14500
Toyota,2015.0,Landcruiser,SUV,USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,Grey / -,8 cyl,SUV, 4 Doors, 7 Seats,99999
Mercedes-Benz,2017.0,GLE63,SUV,USED,Automatic,"8 cyl, 5.5 L",AWD,Premium,Black / -,8 cyl,SUV, 4 Doors, 5 Seats,109999
Holden,2008.0,Commodore,Sedan,USED,Manual,"8 cyl, 6 L",Rear,Premium,Silver / Black,8 cyl,Sedan, 4 Doors, 5 Seats,25990
Nissan,2014.0,Navara,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,Black / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,21995
Hyundai,2015.0,IX35,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,Silver / -,4 cyl,SUV, 4 Doors, 5 Seats,24990
Subaru,2014.0,Forester,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,White / -,4 cyl,SUV, 4 Doors, 5 Seats,12800
Toyota,2004.0,Corolla,Wagon,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,- / -,4 cyl,Wagon, 4 Doors, 5 Seats,6999
Volkswagen,2023.0,T-Cross,Alto Volkswagen New Cars,DEMO,Automatic,"3 cyl, 1 L",Front,Premium,Blue / Black/Grey,3 cyl,SUV, 4 Doors, 5 Seats,38887
Toyota,2022.0,Hilux,Ute / Tray,USED,Manual,"4 cyl, 2.8 L",4WD,Diesel,Grey / C2Fe20,4 cyl,Ute / Tray, 4 Doors, 5 Seats,69990
Ford,2015.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,- / -,5 cyl,Ute / Tray, 4 Doors, 5 Seats,33990
Ford,2019.0,Ranger,Ute / Tray,USED,Automatic,"4 cyl, 2.2 L",Rear,Diesel,White / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,31990
BMW,2004.0,525I,Sedan,USED,Automatic,"6 cyl, 2.5 L",Rear,Premium,Blue / -,6 cyl,Sedan, 4 Doors, 5 Seats,7499
Land,2014.0,Rover,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,White / -,6 cyl,SUV, 4 Doors, 5 Seats,64999
Mazda,2016.0,CX-3,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Red / -,4 cyl,SUV, 4 Doors, 5 Seats,22990
Mercedes-Benz,2022.0,CLA,Sedan,USED,Automatic,"4 cyl, 2 L",AWD,Premium,White / Black,4 cyl,Sedan, 4 Doors, 5 Seats,76900
Volkswagen,2018.0,Amarok,Ute / Tray,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,Silver / Black,6 cyl,Ute / Tray, 4 Doors, 5 Seats,39900
Mitsubishi,2017.0,Outlander,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Black,4 cyl,SUV, 4 Doors, 7 Seats,25990
Mazda,2018.0,BT-50,Ute / Tray,USED,Manual,"5 cyl, 3.2 L",4WD,Diesel,White / -,5 cyl,Ute / Tray, 4 Doors, 5 Seats,39990
Volkswagen,2022.0,T-Cross,Liverpool Volkswagen New Cars,DEMO,Automatic,"3 cyl, 1 L",Front,Premium,Grey / -,3 cyl,SUV, 4 Doors, 5 Seats,34990
Subaru,2022.0,WRX,Sedan,USED,Automatic,"4 cyl, 2.4 L",AWD,Premium,Grey / Black,4 cyl,Sedan, 4 Doors, 5 Seats,54990
Jeep,2013.0,Grand,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,Gold / -,6 cyl,SUV, 4 Doors, 5 Seats,14990
Ford,2015.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,Blue / Black,5 cyl,Ute / Tray, 4 Doors, 5 Seats,29864
Jeep,2015.0,Grand,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,Black / Grey,6 cyl,SUV, 4 Doors, 5 Seats,35990
Mazda,2018.0,3,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Leather,4 cyl,Sedan, 4 Doors, 5 Seats,25990
Nissan,2019.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,White / Grey,4 cyl,SUV, 4 Doors, 5 Seats,28990
Volkswagen,2021.0,Tiguan,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,66888
Porsche,2022.0,Cayenne,SUV,USED,Automatic,"8 cyl, 4 L",AWD,Premium,Brown / Red,8 cyl,SUV, 4 Doors, 5 Seats,216880
Mercedes-Benz,2011.0,Vito,Commercial,USED,Manual,"4 cyl, 2.1 L",Rear,Diesel,White / -,4 cyl,Commercial, 4 Doors, 2 Seats,22990
Isuzu,2011.0,D-MAX,Ute / Tray,USED,Manual,"4 cyl, 3 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 2 Doors, 2 Seats,14990
BMW,2013.0,116I,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Rear,Premium,Bronze / -,4 cyl,Hatchback, 5 Doors, 5 Seats,16995
Mitsubishi,2015.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.4 L",4WD,Diesel,Red / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,24990
Mitsubishi,2018.0,Triton,Ute / Tray,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,Grey / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,39999
Ford,2018.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,White / -,5 cyl,Ute / Tray, 4 Doors, 5 Seats,48990
Toyota,1999.0,Landcruiser,Ute / Tray,USED,Manual,"6 cyl, 4.2 L",4WD,Diesel,Red / Grey,6 cyl,Ute / Tray, 2 Doors, 3 Seats,44999
Suzuki,2021.0,Jimny,SUV,USED,Automatic,"4 cyl, 1.5 L",4WD,Unleaded,Grey / Cloth,4 cyl,SUV, 2 Doors, 4 Seats,40988
Mitsubishi,2019.0,Outlander,SUV,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,Grey / Black,4 cyl,SUV, 4 Doors, 7 Seats,24990
BMW,2006.0,M5,Sedan,USED,Automatic,"10 cyl, 5 L",Rear,Premium,- / -,10 cyl,Sedan, 4 Doors, 5 Seats,44990
Mazda,2014.0,CX-9,SUV,USED,Automatic,"6 cyl, 3.7 L",Front,Unleaded,Grey / -,6 cyl,SUV, 4 Doors, 7 Seats,26995
Lexus,2020.0,IS350,Sedan,USED,Automatic,"6 cyl, 3.5 L",Rear,Premium,White / Black,6 cyl,Sedan, 4 Doors, 5 Seats,65778
Toyota,2018.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,White / -,4 cyl,Hatchback, 5 Doors, 5 Seats,24990
Kia,2019.0,Sorento,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,Blue / Grey,4 cyl,SUV, 4 Doors, 7 Seats,34990
Hyundai,2014.0,Accent,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,Blue / Black,4 cyl,Hatchback, 5 Doors, 5 Seats,13999
Jeep,2015.0,Wrangler,SUV,USED,Manual,"6 cyl, 3.6 L",4WD,Unleaded,Silver / -,6 cyl,SUV, 2 Doors, 4 Seats,32999
Audi,1999.0,TT,Coupe,USED,Manual,"4 cyl, 1.8 L",AWD,Premium,Silver / Black,4 cyl,Coupe, 2 Doors, 4 Seats,15999
Renault,2023.0,Captur,Macarthur Renault,DEMO,Automatic,"4 cyl, 1.3 L",Front,-,Grey / Diamond Black,4 cyl,SUV, 4 Doors, 4 Seats,41490
Toyota,2023.0,Camry,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,Grey / -,4 cyl,Sedan, 4 Doors, 5 Seats,53999
Nissan,2014.0,Juke,SUV,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,Silver / Cloth,4 cyl,SUV, 4 Doors, 5 Seats,18950
Toyota,2018.0,C-HR,SUV,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,White / Black,4 cyl,SUV, 4 Doors, 5 Seats,32999
Mercedes-Benz,2013.0,C63,Sedan,USED,Automatic,"8 cyl, 6.2 L",Rear,Premium,White / -,8 cyl,Sedan, 4 Doors, 5 Seats,85000
Toyota,2016.0,Landcruiser,SUV,USED,Manual,"8 cyl, 4.5 L",4WD,Diesel,White / Grey,8 cyl,SUV, 2 Doors, 5 Seats,79530
Toyota,2016.0,Landcruiser,SUV,USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,White / -,8 cyl,SUV, 4 Doors, 7 Seats,88000
Suzuki,2022.0,Jimny,Gardner Suzuki,DEMO,Manual,"4 cyl, 1.5 L",AWD,Unleaded,Green / -,4 cyl,SUV, 2 Doors, 4 Seats,36990
Toyota,2007.0,Hilux,Ute / Tray,USED,Manual,"4 cyl, 3 L",4WD,Diesel,Silver / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,18999
Volkswagen,2022.0,Touareg,Jackson Motor Company South Launceston,DEMO,Automatic,"6 cyl, 3 L",AWD,Diesel,White / R-Line Soul Black,6 cyl,SUV, 4 Doors, 5 Seats,122990
Audi,2018.0,A3,Other,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,Red / Black,4 cyl,Other, 4 Doors, 5 Seats,30880
Ford,2019.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,Black / -,5 cyl,Ute / Tray, 4 Doors, 5 Seats,48800
Volkswagen,2009.0,Caddy,Wagon,USED,Manual,"4 cyl, 1.9 L",Front,Diesel,White / Art Gray,4 cyl,Wagon, 4 Doors, 7 Seats,13990
Audi,2014.0,A5,Coupe,USED,Automatic,"4 cyl, 2 L",AWD,Premium,White / Black,4 cyl,Coupe, 2 Doors, 4 Seats,27380
Isuzu,2016.0,MU-X,SUV,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,Grey / -,4 cyl,SUV, 4 Doors, 7 Seats,36980
Volkswagen,2021.0,Golf,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Premium,Red / -,4 cyl,Hatchback, 5 Doors, 5 Seats,52990
Mitsubishi,2019.0,Triton,Ute / Tray,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,43990
Ford,2017.0,Escape,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,Red / -,4 cyl,SUV, 4 Doors, 5 Seats,28990
Land,2016.0,Rover,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,Red / -,4 cyl,SUV, 5 Doors, 5 Seats,41990
BMW,2003.0,318I,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Unleaded,White / -,4 cyl,Sedan, 4 Doors, 5 Seats,5990
Holden,2007.0,Astra,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,- / -,4 cyl,Hatchback, 5 Doors, 5 Seats,7999
Mercedes-Benz,2011.0,B180,Hatchback,USED,Automatic,"4 cyl, 1.7 L",Front,Premium,Grey / Black,4 cyl,Hatchback, 5 Doors, 5 Seats,9990
BMW,2019.0,X3,SUV,USED,Automatic,"4 cyl, 2 L",4WD,Premium,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,54800
Holden,2014.0,Commodore,Sedan,USED,Automatic,"8 cyl, 6 L",Rear,Premium,White / -,8 cyl,Sedan, 4 Doors, 5 Seats,39986
Subaru,2021.0,XV,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,White / -,4 cyl,SUV, 4 Doors, 5 Seats,32990
BMW,2005.0,320I,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Unleaded,Blue / -,4 cyl,Sedan, 4 Doors, 5 Seats,9999
Holden,2016.0,Captiva,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,Brown / Black,4 cyl,SUV, 4 Doors, 7 Seats,19950
Toyota,2019.0,Camry,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,White / Black Fabric,4 cyl,Sedan, 4 Doors, 5 Seats,29300
Nissan,2017.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,White / Black,4 cyl,Ute / Tray, 4 Doors, 5 Seats,28990
Land,2019.0,Rover,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,Grey / -,4 cyl,SUV, 4 Doors, 7 Seats,61990
Toyota,2017.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,White / -,4 cyl,Ute / Tray, 4 Doors, 5 Seats,46990
Jeep,2022.0,Compass,Valley Motor Group New,DEMO,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,Green / Black,4 cyl,SUV, 4 Doors, 5 Seats,50499
Suzuki,2023.0,Jimny,SUV,USED,Automatic,"4 cyl, 1.5 L",AWD,Unleaded,Green / -,4 cyl,SUV, 2 Doors, 4 Seats,45984
Jeep,2018.0,Grand,SUV,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,White / -,6 cyl,SUV, 4 Doors, 5 Seats,51995
Subaru,2008.0,Forester,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,Blue / -,4 cyl,SUV, 4 Doors, 5 Seats,11490
Lexus,2020.0,UX200,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,Black / Black,4 cyl,SUV, 4 Doors, 5 Seats,49900
Holden,2015.0,Colorado,Ute / Tray,USED,Manual,"4 cyl, 2.8 L",4WD,Diesel,Grey / Cream,4 cyl,Ute / Tray, 4 Doors, 5 Seats,38995
Toyota,2013.0,Hilux,Ute / Tray,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,White / Grey,6 cyl,Ute / Tray, 2 Doors, 4 Seats,20995
Hyundai,2009.0,Getz,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,Red / Black,4 cyl,Hatchback, 3 Doors, 5 Seats,9990
Toyota,2019.0,Landcruiser,Ute / Tray,USED,Manual,"8 cyl, 4.5 L",4WD,Diesel,White / Grey,8 cyl,Ute / Tray, 2 Doors, 2 Seats,93970
Kia,2013.0,Cerato,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,White / Black,4 cyl,Sedan, 4 Doors, 5 Seats,16990
Toyota,2018.0,Kluger,SUV,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,Black / Black,6 cyl,SUV, 4 Doors, 7 Seats,46990
